CM,Date,CM Category,Credit amount,Redemption,Spend,Generation,Merchant
00870606,9/1/2023,New,50,16,1184,Gen Z,Dell
00870157,7/1/2023,Existing,80,30,500,Millennial,REA Group
00870649,10/1/2023,New,80,77,649,Gen Z,Dulux
00870489,6/1/2023,Existing,80,26,265,Gen X,Balaclava Glass
00871534,12/1/2023,New,100,11,1264,Baby Bommers+,Middy's
00871670,6/1/2023,Existing,900,368,901,Baby Bommers+,L&H
00871709,3/1/2023,Existing,120,5,230,Millennial,Rexel
00871671,12/1/2023,New,250,31,1165,Baby Bommers+,SITA
00871631,11/1/2023,New,200,180,1409,Millennial,Tradelink
00871658,4/1/2023,New,150,102,400,Gen X,Swan Plumbing
00871620,5/1/2023,Existing,50,45,744,Millennial,Samios
00871673,11/1/2023,Existing,80,18,1710,Baby Bommers+,BP
00871809,10/1/2023,New,80,22,384,Baby Bommers+,Caltex
00871808,11/1/2023,New,80,31,1442,Baby Bommers+,Flexiglass
00871782,5/1/2023,New,100,9,81,Gen Z,Damar CDC
00872014,7/1/2023,Existing,900,582,952,Baby Bommers+,Microsoft
00871968,3/1/2023,Existing,120,50,872,Gen Z,Google
00871976,3/1/2023,New,250,67,355,Gen X,AWS
00871997,5/1/2023,New,200,20,81,Gen Z,LinkedIn
00871918,8/1/2023,New,150,134,404,Baby Bommers+,IBM
00871802,1/1/2023,Existing,50,42,166,Gen Z,Dell
00871966,2/1/2023,Existing,80,34,701,Gen X,Facebook
00869526,11/1/2023,New,80,21,1232,Gen Z,Dell
00871906,8/1/2023,New,80,77,385,Baby Bommers+,REA Group
00872034,8/1/2023,New,100,75,332,Millennial,Dulux
00872020,3/1/2023,Existing,900,577,153,Gen Z,Balaclava Glass
00872032,12/1/2023,Existing,120,65,520,Baby Bommers+,Middy's
00866150,12/1/2023,New,250,26,1162,Gen X,L&H
00867394,12/1/2023,New,200,131,352,Gen X,Rexel
00865885,6/1/2023,New,150,134,664,Baby Bommers+,SITA
00869968,3/1/2023,Existing,50,1,619,Baby Bommers+,Tradelink
00870776,6/1/2023,Existing,80,72,167,Baby Bommers+,Swan Plumbing
00867521,5/1/2023,New,80,74,147,Millennial,Samios
00869671,12/1/2023,New,80,38,127,Baby Bommers+,BP
00872182,2/1/2023,New,100,72,630,Baby Bommers+,Caltex
00872141,6/1/2023,Existing,900,631,314,Baby Bommers+,Flexiglass
00871928,11/1/2023,Existing,120,96,1681,Gen Z,Damar CDC
00872316,8/1/2023,New,250,92,568,Baby Bommers+,Microsoft
00872338,2/1/2023,New,200,145,345,Baby Bommers+,Google
00872501,1/1/2023,New,150,115,694,Gen X,AWS
00872265,4/1/2023,Existing,50,6,108,Millennial,LinkedIn
00872260,11/1/2023,Existing,80,31,1928,Gen X,IBM
00872264,2/1/2023,New,70,6,621,Gen X,Dell
00872189,6/1/2023,New,90,90,1739,Millennial,Facebook
00872262,2/1/2023,New,100,69,731,Gen X,Dell
00872259,12/1/2023,Existing,900,450,370,Millennial,REA Group
00872195,11/1/2023,Existing,120,19,497,Gen Z,Dulux
00872545,6/1/2023,New,250,26,532,Gen X,Balaclava Glass
00872317,7/1/2023,New,200,134,170,Millennial,Middy's
00872499,8/1/2023,New,150,55,898,Gen X,L&H
00872559,12/1/2023,Existing,50,49,406,Baby Bommers+,Rexel
00872610,7/1/2023,Existing,80,14,669,Millennial,SITA
00872333,4/1/2023,New,150,12,249,Baby Bommers+,Tradelink
00872604,10/1/2023,New,50,26,395,Baby Bommers+,Swan Plumbing
00872334,4/1/2023,New,80,24,407,Gen X,Samios
00872502,5/1/2023,Existing,70,4,434,Gen X,BP
00872507,1/1/2023,Existing,90,90,497,Gen Z,Caltex
00872638,12/1/2023,New,100,7,1606,Gen Z,Flexiglass
00872631,3/1/2023,New,900,751,869,Gen Z,Damar CDC
00869940,12/1/2023,New,120,52,392,Baby Bommers+,Microsoft
00872632,4/1/2023,Existing,250,88,874,Gen X,Google
